StartDate,EndDate,t_id,self_strategy,other_strategy,difficulty,skill_at_task,CRTrisk,crt_bat,crt_widget,crt_lily,seenCRT,age,gender,Ethnicity,Race_American Indian or Alaska Native,Race_Asian - East Asian,Race_Asian - Southeast Asian,Race_Asian - South Asian,Race_Black or African American,Race_Native Hawaiian or Other Pacific Islander,Race_White - European,Race_White - Middle Eastern,Race_White - North African,Race_Other,Race_Other-TEXT,Race_I do not wish to report this,What country do you currently reside in?,Education,ideology,ideology-TEXT,find_survey,find_survey-TEXT,feedback,LocationLatitude,LocationLongitude
9/16/15 12:11,9/16/15 12:12,euBgH72zQN,"To let them win, because it seemed more difficult to try to get anywhere myself.",To do whatever they wanted; they didn't care about me.,7,1,"15% chance of winning $1,000,000",0.05,5,47,Yes,25,Male,Not Hispanic or Latino,,,,,,,White - European,,,,,,United States,2-Year College Degree (Associates),Liberal,,Through Mechanical Turk,,asdf,32.70809937,-79.94380188
9/16/15 12:11,9/16/15 12:13,9T8SLeN1fd,At first I tried to make sure we both got to the goal at the same time. After they started to try and get there first I only tried to beat them.,"I am not sure, they made some questionable moves.",5,5,100% chance of winning $500,0.05,5,47,Yes,29,Male,Not Hispanic or Latino,,,,,,,White - European,,,,,,USA,High School/GED,Liberal,,Through Mechanical Turk,,I think everything worked well and the game was very smooth.,40.59750366,-73.99790192
9/16/15 12:11,9/16/15 12:13,esnwO0g6Kv,I just tried to get to the orange circle as fast as possible and at first we had a good strategy where we both met our goal at the same time but they started getting to it faster.,To do what they wanted.,5,3,"15% chance of winning $1,000,000",1,100,24,No,19,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,United States,High School/GED,Liberal,,Through Mechanical Turk,,None.,43.08990479,-77.63760376
9/16/15 12:13,9/16/15 12:14,VaqvOHQzJB,share each round,sharing each round,4,4,100% chance of winning $500,0.1,5,24,No,25,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,america,High School/GED,Moderate; middle of the road,,Through Mechanical Turk,,thanks for the task! I hope this data helps!,41.23330688,-95.93029785
9/16/15 12:13,9/16/15 12:15,7cqSO8jTmB,"At first it was to get to the goal as quickly as possible, but we kept blocking each other. I was hoping that the other player could realize that we should take turns, and that's what we ended up figuring out. I let him get a point, then he/she let me get a point. And we went back and forth.",I think it was the exact same as mine.,3,4,100% chance of winning $500,0.05,5,47,Yes,28,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,USA,Master's Degree,Liberal,,Through Mechanical Turk,,Fun task! No issues. Thanks!,42.33659363,-71.07260132
9/16/15 12:14,9/16/15 12:16,YmC5mJfzXv,I get to my spot in as little moves possible and make sure the blue player did not score.,To get the game over with as soon as possible,7,7,100% chance of winning $500,0.05,5,47,No,32,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,US,High School/GED,Liberal,,Through Mechanical Turk,,Thanks,37.98429871,-120.3899994
9/16/15 12:14,9/16/15 12:16,787Uzs4jBS,I didn't seem able to do anything. I wasn't ever able to get aywhere because the other person would block me. ,To get to the goal,1,1,"15% chance of winning $1,000,000",5,100,47,Yes,38,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,usa,2-Year College Degree (Associates),Moderate; middle of the road,,Through Mechanical Turk,,none,43.32080078,-88.03140259
9/16/15 12:16,9/16/15 12:17,tlniZCYtEw,I wanted to get the most goals for myself.,To finish as quick as possible.,5,5,"15% chance of winning $1,000,000",0.1,100,24,No,27,Male,Not Hispanic or Latino,,Asian - East Asian,,,,,,,,,,,USA,2-Year College Degree (Associates),Moderate; middle of the road,,Through Mechanical Turk,,Great HIT,25.98249817,-80.34339905
9/16/15 12:15,9/16/15 12:17,71I3TLRb4N,At first it was to try and get the other player to submit so I would win but that didnt work and then my goal was just to avoid them and hopefully not lose.,The same as mine,6,5,100% chance of winning $500,0.05,5,47,Yes,28,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,usa,Some College,Liberal,,Through Mechanical Turk,,n/a,27.59210205,-80.38529968
9/16/15 12:16,9/16/15 12:19,iUKAI1cWdm,Try to cooperate then give up if it was taking too long.,To go straight through me and win.,5,4,"15% chance of winning $1,000,000",0.1,100,36,Yes,35,Male,Not Hispanic or Latino,,,,,,,White - European,,,,,,USA,Some College,Moderate; middle of the road,,Through Mechanical Turk,,Thanks!,32.70379639,-109.6557999
9/16/15 12:17,9/16/15 12:19,s2T8Hvg6Al,"shortest route to my tile, and patience waiting for opponent to move out of my way",don't think there was one set strategy,4,6,100% chance of winning $500,0.1,100,24,Yes,58,Female,Not Hispanic or Latino,,,,,,,White - European,,,,,,USA,High School/GED,Conservative,,Through Mechanical Turk,,none,35.39019775,-82.37249756
