Match,Round,Turn,agent1,agent1_x,agent1_y,agent1_rt,agent1_action,agent2,agent2_x,agent2_y,agent2_rt,agent2_action
0,1,0,name_2,0,1,8185,right,name_2,4,1,5489,left
0,1,1,name_2,1,1,3393,right,name_2,3,1,1577,left
0,1,2,name_2,1,1,1670,up,name_2,3,1,3744,left
0,1,3,name_2,1,2,4634,right,name_2,2,1,1390,right
0,1,4,name_2,2,2,1679,right,name_2,3,1,3893,left
0,1,5,name_2,3,2,1775,right,name_2,2,1,797,left
0,1,6,name_2,4,2,1404,down,name_2,1,1,3584,left
0,1,7,null,4,1,0,null,0,1,0,,
0,2,0,name_2,0,1,10201,right,name_2,4,1,7971,left
0,2,1,name_2,1,1,2258,up,name_2,3,1,4165,left
0,2,2,name_2,1,2,1747,right,name_2,2,1,173,left
0,2,3,name_2,2,2,147,right,name_2,1,1,2577,left
0,2,4,null,3,2,0,null,0,1,0,,
2,1,0,name_2,0,1,50984,right,name_3,4,1,31122,left
2,1,1,name_2,1,1,3652,right,name_3,3,1,1711,up
2,1,2,name_2,2,1,2212,right,name_3,3,2,3357,left
2,1,3,name_2,3,1,25581,right,name_3,2,2,28228,left
2,1,4,null,4,1,0,null,1,2,0,,
2,2,0,name_2,0,1,24907,right,name_3,4,1,26172,left
2,2,1,name_2,1,1,1597,down,name_3,3,1,512,left
2,2,2,name_2,1,0,818,right,name_3,2,1,1788,left
2,2,3,name_2,2,0,2245,right,name_3,1,1,300,left
2,2,4,null,3,0,0,null,0,1,0,,
3,1,0,name_4,0,1,29763,right,name_5,4,1,17562,left
3,1,1,name_4,1,1,1730,down,name_5,3,1,2604,left
3,1,2,name_4,1,0,1981,right,name_5,2,1,835,left
3,1,3,name_4,2,0,1141,right,name_5,1,1,5357,left
3,1,4,null,3,0,0,null,0,1,0,,
3,2,0,name_4,0,1,7779,right,name_5,4,1,9910,left
3,2,1,name_4,1,1,1253,right,name_5,3,1,453,left
3,2,2,name_4,1,1,1393,down,name_5,3,1,2968,left
3,2,3,name_4,1,0,940,right,name_5,2,1,486,left
3,2,4,name_4,2,0,960,right,name_5,1,1,1893,left
3,2,5,null,3,0,0,null,0,1,0,,
7,1,0,esnwO0g6Kv,0,1,6334,wait,9T8SLeN1fd,4,1,1277,left
7,1,1,esnwO0g6Kv,0,1,1209,wait,9T8SLeN1fd,3,1,630,left
7,1,2,esnwO0g6Kv,0,1,1264,wait,9T8SLeN1fd,2,1,1879,left
7,1,3,esnwO0g6Kv,0,1,673,wait,9T8SLeN1fd,1,1,1441,left
7,1,4,esnwO0g6Kv,0,1,499,wait,9T8SLeN1fd,1,1,1023,down
7,1,5,esnwO0g6Kv,0,1,518,wait,9T8SLeN1fd,1,0,738,left
7,1,6,esnwO0g6Kv,0,1,924,wait,9T8SLeN1fd,0,0,1053,up
7,1,7,esnwO0g6Kv,0,1,499,wait,9T8SLeN1fd,0,0,340,up
7,1,8,esnwO0g6Kv,0,1,67,wait,9T8SLeN1fd,0,0,400,wait
7,1,9,esnwO0g6Kv,0,1,268,wait,9T8SLeN1fd,0,0,1084,up
7,1,10,esnwO0g6Kv,0,1,2714,wait,9T8SLeN1fd,0,0,191,up
7,1,11,esnwO0g6Kv,0,1,193,wait,9T8SLeN1fd,0,0,367,up
7,1,12,esnwO0g6Kv,0,1,76,wait,9T8SLeN1fd,0,0,340,up
7,1,13,esnwO0g6Kv,0,1,126,wait,9T8SLeN1fd,0,0,224,up
7,1,14,esnwO0g6Kv,0,1,77,wait,9T8SLeN1fd,0,0,180,up
7,1,15,esnwO0g6Kv,0,1,565,wait,9T8SLeN1fd,0,0,618,up
7,1,16,esnwO0g6Kv,0,1,46,wait,9T8SLeN1fd,0,0,26,up
7,1,17,esnwO0g6Kv,0,1,20,wait,9T8SLeN1fd,0,0,164,up
7,1,18,esnwO0g6Kv,0,1,352,right,9T8SLeN1fd,0,0,48,up
7,1,19,null,1,1,0,null,0,1,0,,
7,2,0,esnwO0g6Kv,0,1,1607,right,9T8SLeN1fd,4,1,1908,left
7,2,1,esnwO0g6Kv,1,1,22,right,9T8SLeN1fd,3,1,642,left
7,2,2,esnwO0g6Kv,1,1,1448,up,9T8SLeN1fd,3,1,549,down
7,2,3,esnwO0g6Kv,1,2,642,right,9T8SLeN1fd,3,0,285,left
7,2,4,esnwO0g6Kv,2,2,131,right,9T8SLeN1fd,2,0,444,up
7,2,5,esnwO0g6Kv,3,2,521,right,9T8SLeN1fd,2,1,340,left
7,2,6,esnwO0g6Kv,4,2,384,down,9T8SLeN1fd,1,1,337,left
7,2,7,null,4,1,0,null,0,1,0,,
7,3,0,esnwO0g6Kv,0,1,1744,right,9T8SLeN1fd,4,1,2592,left
7,3,1,esnwO0g6Kv,1,1,541,up,9T8SLeN1fd,3,1,505,down
7,3,2,esnwO0g6Kv,1,2,220,right,9T8SLeN1fd,3,0,292,left
7,3,3,esnwO0g6Kv,2,2,34,right,9T8SLeN1fd,2,0,234,left
7,3,4,esnwO0g6Kv,3,2,275,right,9T8SLeN1fd,1,0,298,left
7,3,5,esnwO0g6Kv,4,2,331,down,9T8SLeN1fd,0,0,211,up
7,3,6,null,4,1,0,null,0,1,0,,
7,4,0,esnwO0g6Kv,0,1,1551,right,9T8SLeN1fd,4,1,1238,left
7,4,1,esnwO0g6Kv,1,1,352,up,9T8SLeN1fd,3,1,322,down
7,4,2,esnwO0g6Kv,1,2,184,right,9T8SLeN1fd,3,0,175,left
7,4,3,esnwO0g6Kv,2,2,35,right,9T8SLeN1fd,2,0,168,left
7,4,4,esnwO0g6Kv,3,2,312,right,9T8SLeN1fd,1,0,163,left
7,4,5,esnwO0g6Kv,4,2,281,down,9T8SLeN1fd,0,0,157,up
7,4,6,null,4,1,0,null,0,1,0,,
7,5,0,esnwO0g6Kv,0,1,1730,right,9T8SLeN1fd,4,1,1396,left
7,5,1,esnwO0g6Kv,1,1,252,up,9T8SLeN1fd,3,1,274,down
7,5,2,esnwO0g6Kv,1,2,210,right,9T8SLeN1fd,3,0,193,left
7,5,3,esnwO0g6Kv,2,2,287,right,9T8SLeN1fd,2,0,162,left
7,5,4,esnwO0g6Kv,3,2,8,right,9T8SLeN1fd,1,0,216,left
7,5,5,esnwO0g6Kv,4,2,84,right,9T8SLeN1fd,0,0,239,up
7,5,6,null,4,2,0,null,0,1,0,,
7,6,0,esnwO0g6Kv,0,1,1496,right,9T8SLeN1fd,4,1,1387,left
7,6,1,esnwO0g6Kv,1,1,234,up,9T8SLeN1fd,3,1,343,down
7,6,2,esnwO0g6Kv,1,2,167,right,9T8SLeN1fd,3,0,254,left
7,6,3,esnwO0g6Kv,2,2,247,right,9T8SLeN1fd,2,0,188,left
7,6,4,esnwO0g6Kv,3,2,30,right,9T8SLeN1fd,1,0,256,left
7,6,5,esnwO0g6Kv,4,2,151,down,9T8SLeN1fd,0,0,277,up
7,6,6,null,4,1,0,null,0,1,0,,
7,7,0,esnwO0g6Kv,0,1,1700,right,9T8SLeN1fd,4,1,1357,left
7,7,1,esnwO0g6Kv,1,1,392,up,9T8SLeN1fd,3,1,261,down
7,7,2,esnwO0g6Kv,1,2,220,right,9T8SLeN1fd,3,0,158,left
7,7,3,esnwO0g6Kv,2,2,194,right,9T8SLeN1fd,2,0,178,left
7,7,4,esnwO0g6Kv,3,2,6,right,9T8SLeN1fd,1,0,188,left
7,7,5,esnwO0g6Kv,4,2,15,right,9T8SLeN1fd,0,0,280,up
7,7,6,null,4,2,0,null,0,1,0,,
7,8,0,esnwO0g6Kv,0,1,1631,right,9T8SLeN1fd,4,1,1601,left
7,8,1,esnwO0g6Kv,1,1,234,up,9T8SLeN1fd,3,1,340,down
7,8,2,esnwO0g6Kv,1,2,139,right,9T8SLeN1fd,3,0,166,left
7,8,3,esnwO0g6Kv,2,2,186,right,9T8SLeN1fd,2,0,167,left
7,8,4,esnwO0g6Kv,3,2,9,right,9T8SLeN1fd,1,0,152,left
7,8,5,esnwO0g6Kv,4,2,7,right,9T8SLeN1fd,0,0,227,up
7,8,6,null,4,2,0,null,0,1,0,,
7,9,0,esnwO0g6Kv,0,1,1473,right,9T8SLeN1fd,4,1,1620,left
7,9,1,esnwO0g6Kv,1,1,147,up,9T8SLeN1fd,3,1,240,down
7,9,2,esnwO0g6Kv,1,2,157,right,9T8SLeN1fd,3,0,149,left
7,9,3,esnwO0g6Kv,2,2,274,right,9T8SLeN1fd,2,0,204,left
7,9,4,esnwO0g6Kv,3,2,12,right,9T8SLeN1fd,1,0,147,left
7,9,5,esnwO0g6Kv,4,2,35,right,9T8SLeN1fd,0,0,223,up
7,9,6,null,4,2,0,null,0,1,0,,
7,10,0,esnwO0g6Kv,0,1,1457,right,9T8SLeN1fd,4,1,1501,down
7,10,1,esnwO0g6Kv,1,1,18,right,9T8SLeN1fd,4,0,383,left
7,10,2,esnwO0g6Kv,2,1,134,right,9T8SLeN1fd,3,0,193,left
7,10,3,esnwO0g6Kv,3,1,94,right,9T8SLeN1fd,2,0,219,left
7,10,4,null,4,1,0,null,1,0,0,,
7,11,0,esnwO0g6Kv,0,1,1304,right,9T8SLeN1fd,4,1,1420,left
7,11,1,esnwO0g6Kv,1,1,215,right,9T8SLeN1fd,3,1,431,down
7,11,2,esnwO0g6Kv,2,1,248,right,9T8SLeN1fd,3,0,295,left
7,11,3,esnwO0g6Kv,3,1,279,right,9T8SLeN1fd,2,0,225,left
7,11,4,null,4,1,0,null,1,0,0,,
7,12,0,esnwO0g6Kv,0,1,1642,right,9T8SLeN1fd,4,1,1460,left
7,12,1,esnwO0g6Kv,1,1,251,right,9T8SLeN1fd,3,1,225,left
7,12,2,esnwO0g6Kv,1,1,9,right,9T8SLeN1fd,3,1,1103,wait
7,12,3,esnwO0g6Kv,2,1,264,up,9T8SLeN1fd,3,1,383,left
7,12,4,esnwO0g6Kv,2,2,209,right,9T8SLeN1fd,2,1,579,left
7,12,5,esnwO0g6Kv,3,2,156,down,9T8SLeN1fd,1,1,242,left
7,12,6,null,3,1,0,null,0,1,0,,
7,13,0,esnwO0g6Kv,0,1,1451,right,9T8SLeN1fd,4,1,1489,left
7,13,1,esnwO0g6Kv,1,1,183,up,9T8SLeN1fd,3,1,359,down
7,13,2,esnwO0g6Kv,1,2,64,up,9T8SLeN1fd,3,0,243,left
7,13,3,esnwO0g6Kv,1,2,338,right,9T8SLeN1fd,2,0,206,left
7,13,4,esnwO0g6Kv,2,2,69,right,9T8SLeN1fd,1,0,301,left
7,13,5,esnwO0g6Kv,3,2,158,right,9T8SLeN1fd,0,0,1066,up
7,13,6,null,4,2,0,null,0,1,0,,
7,14,0,esnwO0g6Kv,0,1,1387,right,9T8SLeN1fd,4,1,1203,left
7,14,1,esnwO0g6Kv,1,1,331,right,9T8SLeN1fd,3,1,249,left
7,14,2,esnwO0g6Kv,1,1,473,right,9T8SLeN1fd,3,1,759,left
7,14,3,esnwO0g6Kv,1,1,410,down,9T8SLeN1fd,3,1,552,down
7,14,4,esnwO0g6Kv,1,0,58,down,9T8SLeN1fd,3,0,247,left
7,14,5,esnwO0g6Kv,1,0,476,up,9T8SLeN1fd,2,0,389,up
7,14,6,esnwO0g6Kv,1,1,253,right,9T8SLeN1fd,2,1,1000,up
7,14,7,esnwO0g6Kv,2,1,423,right,9T8SLeN1fd,2,2,232,left
7,14,8,esnwO0g6Kv,3,1,117,right,9T8SLeN1fd,1,2,1542,left
7,14,9,null,4,1,0,null,0,2,0,,
7,15,0,esnwO0g6Kv,0,1,1459,right,9T8SLeN1fd,4,1,1047,left
7,15,1,esnwO0g6Kv,1,1,145,up,9T8SLeN1fd,3,1,28,left
7,15,2,esnwO0g6Kv,1,2,76,up,9T8SLeN1fd,2,1,239,left
7,15,3,esnwO0g6Kv,1,2,366,right,9T8SLeN1fd,1,1,234,left
7,15,4,null,2,2,0,null,0,1,0,,
7,16,0,esnwO0g6Kv,0,1,1292,right,9T8SLeN1fd,4,1,1581,left
7,16,1,esnwO0g6Kv,1,1,21,right,9T8SLeN1fd,3,1,505,left
7,16,2,esnwO0g6Kv,1,1,64,right,9T8SLeN1fd,3,1,331,wait
7,16,3,esnwO0g6Kv,2,1,480,down,9T8SLeN1fd,3,1,655,left
7,16,4,esnwO0g6Kv,2,0,158,right,9T8SLeN1fd,2,1,587,left
7,16,5,esnwO0g6Kv,3,0,149,right,9T8SLeN1fd,1,1,138,left
7,16,6,null,4,0,0,null,0,1,0,,
7,17,0,esnwO0g6Kv,0,1,1357,right,9T8SLeN1fd,4,1,1381,left
7,17,1,esnwO0g6Kv,1,1,170,right,9T8SLeN1fd,3,1,342,down
7,17,2,esnwO0g6Kv,2,1,379,right,9T8SLeN1fd,3,0,195,left
7,17,3,esnwO0g6Kv,3,1,117,right,9T8SLeN1fd,2,0,231,left
7,17,4,null,4,1,0,null,1,0,0,,
7,18,0,esnwO0g6Kv,0,1,1490,right,9T8SLeN1fd,4,1,999,left
7,18,1,esnwO0g6Kv,1,1,5,right,9T8SLeN1fd,3,1,256,left
7,18,2,esnwO0g6Kv,1,1,26,right,9T8SLeN1fd,3,1,294,wait
7,18,3,esnwO0g6Kv,2,1,59,up,9T8SLeN1fd,3,1,14,left
7,18,4,esnwO0g6Kv,2,2,15,up,9T8SLeN1fd,2,1,291,left
7,18,5,esnwO0g6Kv,2,2,92,right,9T8SLeN1fd,1,1,192,left
7,18,6,null,3,2,0,null,0,1,0,,
7,19,0,esnwO0g6Kv,0,1,1122,right,9T8SLeN1fd,4,1,1011,left
7,19,1,esnwO0g6Kv,1,1,164,right,9T8SLeN1fd,3,1,215,left
7,19,2,esnwO0g6Kv,1,1,597,up,9T8SLeN1fd,3,1,354,wait
7,19,3,esnwO0g6Kv,1,2,234,right,9T8SLeN1fd,3,1,307,left
7,19,4,esnwO0g6Kv,2,2,116,right,9T8SLeN1fd,2,1,180,left
7,19,5,esnwO0g6Kv,3,2,153,down,9T8SLeN1fd,1,1,222,left
7,19,6,null,3,1,0,null,0,1,0,,
7,20,0,esnwO0g6Kv,0,1,1474,right,9T8SLeN1fd,4,1,1554,left
7,20,1,esnwO0g6Kv,1,1,413,down,9T8SLeN1fd,3,1,353,left
7,20,2,esnwO0g6Kv,1,0,149,right,9T8SLeN1fd,2,1,336,left
