"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
5923	"s"	"kwqyT4jpAf"	0	0	0	0	1	"left"	0	4	1	"left"	2891	0	0	0	107	0	"2015-10-15T22:47:51.881Z"
5924	"s"	"kwqyT4jpAf"	0	1	1	0	1	"left"	0	3	1	"left"	633	0	0	0	103	0	"2015-10-15T22:47:52.827Z"
5925	"s"	"kwqyT4jpAf"	0	2	2	0	1	"left"	0	2	1	"left"	435	0	0	0	102	0	"2015-10-15T22:47:53.569Z"
5926	"s"	"kwqyT4jpAf"	0	3	3	0	1	"down"	0	1	1	"wait"	666	1	0	0	611	5	"2015-10-15T22:47:54.542Z"
5927	"s"	"kwqyT4jpAf"	0	4	4	0	0	"down"	0	1	1	"left"	224	0	0	1	205	1	"2015-10-15T22:47:55.073Z"
5928	"s"	"kwqyT4jpAf"	1	0	5	0	1	"down"	0	4	1	"left"	988	0	0	0	102	0	"2015-10-15T22:47:58.634Z"
5929	"s"	"kwqyT4jpAf"	1	1	6	0	0	"left"	0	3	1	"left"	238	0	0	0	103	0	"2015-10-15T22:47:59.179Z"
5930	"s"	"kwqyT4jpAf"	1	2	7	0	0	"left"	0	2	1	"left"	226	0	0	0	99	0	"2015-10-15T22:47:59.711Z"
5931	"s"	"kwqyT4jpAf"	1	3	8	0	0	"left"	0	1	1	"left"	188	0	0	1	99	0	"2015-10-15T22:48:00.206Z"
5932	"s"	"kwqyT4jpAf"	2	0	9	0	1	"left"	0	4	1	"left"	729	0	0	0	99	0	"2015-10-15T22:48:03.495Z"
5933	"s"	"kwqyT4jpAf"	2	1	10	0	1	"right"	0	3	1	"left"	942	0	0	0	99	0	"2015-10-15T22:48:04.744Z"
5934	"s"	"kwqyT4jpAf"	2	2	11	1	1	"up"	0	2	1	"up"	1457	0	0	0	199	1	"2015-10-15T22:48:06.506Z"
5935	"s"	"kwqyT4jpAf"	2	3	12	1	2	"down"	0	2	2	"down"	547	0	0	0	99	0	"2015-10-15T22:48:07.359Z"
5936	"s"	"kwqyT4jpAf"	2	4	13	1	1	"left"	0	2	1	"left"	777	0	0	0	198	1	"2015-10-15T22:48:08.441Z"
5937	"s"	"kwqyT4jpAf"	2	5	14	0	1	"down"	0	1	1	"left"	1451	0	0	1	99	0	"2015-10-15T22:48:10.199Z"
5938	"s"	"kwqyT4jpAf"	3	0	15	0	1	"left"	0	4	1	"left"	969	0	0	0	99	0	"2015-10-15T22:48:13.726Z"
5939	"s"	"kwqyT4jpAf"	3	1	16	0	1	"down"	0	3	1	"left"	2078	0	0	0	99	0	"2015-10-15T22:48:16.110Z"
5940	"s"	"kwqyT4jpAf"	3	2	17	0	0	"left"	0	2	1	"left"	1261	0	0	0	99	0	"2015-10-15T22:48:17.678Z"
5941	"s"	"kwqyT4jpAf"	3	3	18	0	0	"right"	0	1	1	"left"	741	0	0	1	98	0	"2015-10-15T22:48:18.726Z"
5942	"s"	"kwqyT4jpAf"	4	0	19	0	1	"left"	0	4	1	"left"	1996	0	0	0	101	0	"2015-10-15T22:48:23.280Z"
5943	"s"	"kwqyT4jpAf"	4	1	20	0	1	"left"	0	3	1	"left"	319	0	0	0	99	0	"2015-10-15T22:48:23.904Z"
5944	"s"	"kwqyT4jpAf"	4	2	21	0	1	"down"	0	2	1	"left"	182	0	0	0	100	0	"2015-10-15T22:48:24.391Z"
5945	"f"	"UzcusTNxF2"	0	0	0	0	1	"wait"	0	4	1	"left"	2265	1	0	0	2244	3	"2015-10-15T22:48:26.908Z"
5946	"s"	"kwqyT4jpAf"	4	3	22	0	0	"left"	0	1	1	"left"	295	0	0	1	101	0	"2015-10-15T22:48:24.992Z"
5947	"s"	"kwqyT4jpAf"	5	0	23	0	1	"down"	0	4	1	"left"	973	0	0	0	199	1	"2015-10-15T22:48:28.523Z"
5948	"f"	"UzcusTNxF2"	0	1	1	0	1	"down"	0	3	1	"wait"	4386	1	0	0	1180	1	"2015-10-15T22:48:31.671Z"
5949	"s"	"kwqyT4jpAf"	5	1	24	0	0	"right"	0	3	1	"left"	370	0	0	0	100	0	"2015-10-15T22:48:29.199Z"
5950	"s"	"kwqyT4jpAf"	5	2	25	1	0	"right"	0	2	1	"left"	198	0	0	0	100	0	"2015-10-15T22:48:29.703Z"
5951	"s"	"kwqyT4jpAf"	5	3	26	2	0	"right"	0	1	1	"left"	229	0	0	1	99	0	"2015-10-15T22:48:30.239Z"
5952	"f"	"UzcusTNxF2"	0	2	2	0	0	"right"	0	3	1	"left"	2039	0	0	0	1201	1	"2015-10-15T22:48:34.024Z"
5953	"f"	"UzcusTNxF2"	0	3	3	1	0	"right"	0	2	1	"wait"	3112	1	0	0	3087	4	"2015-10-15T22:48:37.458Z"
5954	"s"	"kwqyT4jpAf"	6	0	27	0	1	"down"	0	4	1	"left"	4917	0	0	0	103	0	"2015-10-15T22:48:37.714Z"
5955	"f"	"UzcusTNxF2"	0	4	4	2	0	"right"	0	2	1	"up"	2459	0	0	0	2331	3	"2015-10-15T22:48:40.336Z"
5956	"s"	"kwqyT4jpAf"	6	1	28	0	0	"left"	0	3	1	"left"	212	0	0	0	101	0	"2015-10-15T22:48:38.232Z"
5957	"s"	"kwqyT4jpAf"	6	2	29	0	0	"left"	0	2	1	"left"	310	0	0	0	100	0	"2015-10-15T22:48:38.848Z"
5958	"s"	"kwqyT4jpAf"	6	3	30	0	0	"left"	0	1	1	"left"	136	0	0	1	102	0	"2015-10-15T22:48:39.289Z"
5959	"f"	"UzcusTNxF2"	0	5	5	3	0	"right"	0	2	2	"left"	2222	0	0	0	1757	2	"2015-10-15T22:48:42.865Z"
